款式编号,款式名称,款式性别,产品线,款式分类,审核状态,是否定制,可做镶口,可做材质,材质颜色
KLDW026872,18K金 闪耀系列 耳钉 白色,女,K金,耳饰,已审核,是,0,18K,白
KLPW026858,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLNM026844,PT950铂金男士项链  麦穗矩形车花  52-55CM,男,PT,项链,已审核,是,0,18K|PT950,白
KLNM026843,PT950铂金男士项链  圆珠橄榄间矩形车花  48-50CM,男,PT,项链,已审核,是,0,18K|PT950,白
KLDW026842,PT950 铂金耳钉   两只蝴蝶,女,PT,耳饰,已审核,是,0,PT950,白
KLPX026841,18K 转运珠吊坠 珠联璧合系列 玫瑰色,中性,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPX026840,18K 转运珠吊坠 珠联璧合系列 白色,中性,K金,吊坠,已审核,是,0,18K,白
KLPX026839,18K 转运珠吊坠 珠联璧合系列  金黄色,中性,K金,吊坠,已审核,是,0,18K,黄
KLPW026838,18K 彩金三色 吊坠转运珠  小蛮腰,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW026837,18K 金黄色 吊坠转运珠  小蛮腰,女,K金,吊坠,已审核,是,0,18K,黄
KLPW026814,翠色莹润吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLPW026813,翠色水润吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLNW026780,18K金 玫瑰色 嘴唇项链 18寸45CM,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW026773,18K玫瑰金 心形LOVE套链  ,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW026751,18K金  水波纹项链  金黄色   18寸43-45CM,女,K金,项链,已审核,是,0,18K,黄
KLNW026745,18K金  大满天星项链  白色,女,K金,项链,已审核,是,0,18K,白
KLNW026744,18K金  大满天星项链  金黄色,女,K金,项链,已审核,是,0,18K,黄
KLNW026743,18K金  大满天星项链  玫瑰色,女,K金,项链,已审核,是,0,18K,玫瑰金
KLPW026738,18K金 玫瑰色转运珠吊坠,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW026737,PT950铂金吊坠  三角镂空,女,PT,吊坠,已审核,是,0,PT950,白
KLPW026736,PT950铂金吊坠  新品,女,PT,吊坠,已审核,是,0,PT950,白
KLNW026734,18K彩金三色田字链 四叶草 18寸45CM,女,K金,项链,已审核,是,0,18K,彩金
KLNW026728,18K双心套链,女,K金,项链,已审核,是,0,18K,玫瑰金|白|黄
KLNW026727,18K金 新闪O项链 白色 可拉伸可调节 20寸48CM,女,K金,项链,已审核,是,0,18K,白
KLNW026726,18K金 瓜子项链 三色彩金 18寸43-45CM,女,K金,项链,已审核,是,0,18K,彩金
KLNW026725,18K金 新闪O项链 金黄色 可拉伸可调节 20寸48CM,女,K金,项链,已审核,是,0,18K,黄
KLNW026724,18K金  新闪O项链  玫瑰色 可拉伸可调节  20寸48CM ,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW026723,18K金 瓜子项链 玫瑰色  18寸45CM,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW026717,18K盒子链   金黄色   18寸43-45CM,女,K金,项链,已审核,是,0,18K,黄
KLNW026716,PT950铂金项链 元宝链 18寸43-45CM,女,PT,项链,已审核,是,0,PT950,白
KLPW026714,18K金 红碧玺,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW026712,18K吊坠 黄色  情迷夏威夷,女,K金,吊坠,已审核,是,0,18K,黄
KLDW026711,18K金耳钉  心耀   白色,女,K金,耳饰,已审核,是,0,18K,白
KLDW026710,18K金耳钉  心耀   金黄色,女,K金,耳饰,已审核,是,0,18K,黄
KLDW026709,18K金耳钉  心耀   玫瑰色,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW026708,18K金耳钉  爱情魔方  玫瑰色,女,K金,耳饰,已审核,是,0,18K,玫瑰金
KLDW026707,18K金耳钉  爱情魔方  金黄色,女,K金,耳饰,已审核,是,0,18K,黄
KLPW026706,18K彩金吊坠   镂空立体显大  玫瑰花 ,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW026705,18K彩金吊坠   萌小兔,女,K金,吊坠,已审核,是,0,18K,彩金
KLPW026698,PT950铂金吊坠   心跳,女,PT,吊坠,已审核,是,0,PT950,白
KLPW026697,PT950铂金吊坠   天使之心,女,PT,吊坠,已审核,是,0,PT950,白
KLNW026693,18K白色水波间片链 16寸40-42CM,女,K金,项链,已审核,是,0,18K,白
KLNW026689,18K彩金三色盒子项链 18寸45CM,女,K金,项链,已审核,是,0,18K,彩金
KLNW026688,18K彩金三色盒子项链 16寸42CM,女,K金,项链,已审核,是,0,18K,彩金
KLNW026687,18K玫瑰色盒子项链 16寸40-42CM,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW026686,18K玫瑰色盒子项链 18寸43-45CM,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW026685,18K玫瑰色水波纹项链  18寸43-45CM,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW026682,18K彩金三色水波纹链 16寸40-42CM,女,K金,项链,已审核,是,0,18K,彩金
KLNW026681,18K彩金三色水波间片链 16寸40-42CM,女,K金,项链,已审核,是,0,18K,彩金
KLNW026680,18K彩金三色水波纹链 18寸43-45CM,女,K金,项链,已审核,是,0,18K,彩金
KLNW026679,18K彩金三色水波间片链 18寸43-45CM,女,K金,项链,已审核,是,0,18K,彩金
KLSW026671,18k玫瑰金O字手链,女,K金,手链,已审核,是,0,18K,玫瑰金
KLSW026670,18k白金O字手链,女,K金,手链,已审核,是,0,18K,白
KLPW026666,吾思手链  白色心形吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW026665,吾思手链  白色方块吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW026664,吾思手链   黑玛心形吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW026662,吾思手链  草花黑玛吊坠,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLNW026654,18K白金 盒子项链 16寸40-42CM,女,K金,项链,已审核,是,0,18K,白
KLPW026642,18K金吊坠 金叶 玫瑰色,女,K金,吊坠,已审核,是,0,18K,玫瑰金
KLPW026641,18K金吊坠 金叶 白色,女,K金,吊坠,已审核,是,0,18K,白
KLNW026640,PT950铂金项链  满天星  18寸  43-45CM,女,PT,项链,已审核,是,0,PT950,白
KLDW026639,卡缔尔代销产品专用款号4,女,钻石,耳饰,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLNW026638,18K白色水波间片链  18寸43-45CM,女,K金,项链,已审核,是,0,18K,白
KLNW026637,18K黄色水波间片链  18寸45CM,女,K金,项链,已审核,是,0,18K,黄
KLNW026636,18K玫瑰色田字链   四叶草  18寸45CM,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW026635,18K白色田字链   四叶草   18寸45CM,女,K金,项链,已审核,是,0,18K,白
KLNW026634,18K黄色田字链   四叶草   18寸45CM,女,K金,项链,已审核,是,0,18K,黄
KLRW026633,18K戒指 炫彩 三色彩金,女,K金,女戒,已审核,是,0,18K,彩金
KLPW026607,PT950铂金吊坠 永结同心,女,PT,吊坠,已审核,是,0,PT950,白
KLPW026600,18K新款吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW026553,映梦 ,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLSW026512,铂金新品手链,女,PT,手链,已审核,是,0,PT950,白
KLPW026499,慕蕊,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW026400,转角遇到爱,女,PT,吊坠,已审核,是,0,PT950,白
KLPW026399,小麋鹿,女,PT,吊坠,已审核,是,0,PT950,白
KLPW026352,小黄鸭,女,宝石,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLNW026188,星云-光珠,女,PT,项链,已审核,是,0,PT950,白
KLNW026187,星云-盒子,女,PT,项链,已审核,是,0,PT950,白
KLPX026158,小萌马,中性,PT,吊坠,已审核,是,0,18K|PT950,白
KLPX025962,和田玉平安扣,中性,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLNW025930,18K白金 心肖邦 项链,女,K金,项链,已审核,是,0,18K,白
KLPW025782,洛桑,女,宝石,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLNW025409,PT950铂金项链 水波纹链  18寸43-45CM,女,PT,项链,已审核,是,0,PT950,白
KLDW025384,PT950   翎羽,女,PT,耳饰,已审核,是,0,PT950,白
KLDW025383,PT950    风尚,女,PT,耳饰,已审核,是,0,PT950,白
KLDW025382,PT950  皇冠,女,PT,耳饰,已审核,是,0,PT950,白
KLDW025381,PT950    炫蝶,女,PT,耳饰,已审核,是,0,PT950,白
KLSW025377,PT950   花语,女,PT,手链,已审核,是,0,PT950,白
KLSW025375,PT950   八角爱心花,女,PT,手链,已审核,是,0,PT950,白
KLNW025373,PT950    饼干链,女,PT,项链,已审核,是,0,PT950,白
KLPW025372,PT950    幸运树,女,PT,吊坠,已审核,是,0,PT950,白
KLSW025369,PT950  多变,女,PT,手链,已审核,是,0,PT950,白
KLNW025351,珂兰钻石 18K白金10分钻石吊坠 满满爱 赠S925银链,女,钻石,项链,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW025337,卡缔尔代销产品专用款号4,女,宝石,吊坠,已审核,是,0,18K|PT950,白
KLDW025317,卡缔尔代销产品专用款号2,女,钻石,耳饰,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW025316,卡缔尔代销产品专用款号1,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLNW025294,18K玫瑰金 心肖邦 项链,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW025229,18K玫瑰金吊坠 套链,女,K金,项链,已审核,是,0,18K,彩金
KLPW025214,18K金镶玉  碧玺  礼物盒子,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色|黄|白|玫瑰金
KLPW025097,秘密花园系列-心心相印,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW025095,眷顾,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW025092,秘密花园系列-幸福,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLRM024924,素金对戒,男,K金,情侣戒,已审核,是,0,18K,白
KLNW024835,铂金950项链,女,PT,项链,已审核,是,0,PT950,白
KLPW024833,铂金 吊坠 ,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024832,铂金 吊坠 镂空袋,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024830,铂金 吊坠 镂空三叶草,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024829,铂金 吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLNW024828,PT950项链,女,PT,项链,已审核,是,0,PT950,白
KLPW024827,铂金 吊坠 兔子,女,PT,吊坠,已审核,是,0,PT950,白
KLNW024824,铂金 项链,女,PT,项链,已审核,是,0,PT950,白
KLNW024822,铂金 项链,女,PT,项链,已审核,是,0,PT950,白
KLPW024805,相伴,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024783,新款珍珠吊坠,女,珍珠,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLPW024781,爱羽 珍珠新品,女,珍珠,吊坠,已审核,是,0,18K|PT950,黄|白|玫瑰金
KLNM024767,镭射橄榄,男,PT,项链,已审核,是,0,18K|PT950,白
KLNM024766,京东铂金橄榄间圆柱,男,PT,项链,已审核,是,0,18K|PT950,白
KLNW024732,PT950铂金项链 瓦片链,女,PT,项链,已审核,是,0,PT950,白
KLNW024731,PT950 O字链 40-42CM,女,PT,项链,已审核,是,0,PT950,白
KLNW024730,PT950铂金项链 O字间长方铁,女,PT,项链,已审核,是,0,PT950,白
KLPW024729,PT950 铂金吊坠 猫吃鱼,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024728,PT950 铂金吊坠 智慧猫,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024727,PT950 吊坠 心花,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024726,PT950 吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024725,PT950铂金吊坠 花海,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024724,PT950铂金吊坠 缠绕,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024723,PT950 吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024722,PT950 优雅公主,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024721,PT950铂金吊坠 皇冠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024720,PT950 吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPX024719,PT950铂金吊坠 爱情使者“点点”,中性,PT,吊坠,已审核,是,0,18K|PT950,白
KLPW024718,快乐精灵“贝贝”,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024717,PT950铂金吊坠 浪漫诗者“圆圆”,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024716,PT950铂金吊坠 机灵萌主“叮叮”,女,PT,吊坠,已审核,是,0,PT950,白
KLPW024715,吉祥福星“余余”,女,PT,吊坠,已审核,是,0,PT950,白
KLNW024714,PT950铂金项链 套链 链坠 爱的纪念,女,PT,项链,已审核,是,0,PT950,白
KLNW024713,PT950铂金项链 套链 链坠 字母,女,PT,项链,已审核,是,0,PT950,白
KLNW024712,PT950  天使,女,PT,项链,已审核,是,0,PT950,白
KLNW024711,PT950 永远,女,PT,项链,已审核,是,0,PT950,白
KLNW024710,PT950  印记,女,PT,项链,已审核,是,0,PT950,白
KLDW024709,PT950 耳钉,女,PT,耳饰,已审核,是,0,PT950,白
KLDW024708,PT950铂金耳贴   蝶恋,女,PT,耳饰,已审核,是,0,PT950,白
KLNW024695,套链 18k 红  多彩鱼,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW024694,套链 18k 苹果,女,K金,项链,已审核,是,0,18K,黄|白|玫瑰金
KLNW024675,套链 18k白 齿轮,女,K金,项链,已审核,是,0,18K,黄|白|玫瑰金
KLPW024673,18K白金钻石吊坠 一生一世,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLNW024636,杨桃链 PT950,女,PT,项链,已审核,是,0,PT950,白
KLDW024635,PT950铂金耳贴 幸运草 ,女,PT,耳饰,已审核,是,0,PT950,白
KLNW024604,套链 18k  草莓,女,K金,项链,已审核,是,0,18K,黄|白|玫瑰金
KLNW024581,套链 18k白 可可鹿,女,K金,项链,已审核,是,0,18K,黄|白|玫瑰金
KLNW024579,套链 18k白 乖乖兔,女,K金,项链,已审核,是,0,18K,黄|白|玫瑰金
KLNW024577,套链 18k白 童趣-木马,女,K金,项链,已审核,是,0,18K,黄|白|玫瑰金
KLNW024575,套链 18k红 母子鹿,女,K金,项链,已审核,是,0,18K,玫瑰金
KLNW024573,套链 18k白 宝贝象,女,K金,项链,已审核,是,0,18K,白
KLSW024569,手链 18k红  可可鹿,女,K金,手链,已审核,是,0,18K,玫瑰金
KLSW024568,手链 18k红 母子鹿,女,K金,手链,已审核,是,0,18K,玫瑰金
KLSW024564,手链 18k红 宝贝象,女,K金,手链,已审核,是,0,18K,玫瑰金
KLSW024561,手链 18k红  童心-木马  ,女,K金,手链,已审核,是,0,18K,玫瑰金
KLPW024493,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024491,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024489,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024488,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024487,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024477,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024475,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024473,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024472,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024471,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024470,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024469,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024468,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024465,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024464,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024459,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024457,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024456,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024455,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024454,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024453,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW024446,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLRM024359,情侣对戒,男,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRW024358,情侣对戒,女,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRM024357,情侣对戒,男,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRW024356,情侣对戒,女,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRM024355,情侣对戒,男,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRW024354,情侣对戒,女,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRM024353,情侣对戒,男,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRW024352,情侣对戒,女,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRM024351,情侣对戒,男,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRW024350,情侣对戒,女,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRM024349,情侣对戒,男,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRW024348,情侣对戒,女,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRW024347,情侣对戒,女,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRW024346,情侣对戒,女,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRM024345,情侣对戒,男,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRW024344,情侣对戒,女,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRM024343,情侣对戒,男,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLRW024342,情侣对戒,女,K金,情侣戒,已审核,是,0,18K,分色|玫瑰金|黄|白|玫瑰黄|玫瑰白|黄白
KLNW024270,PT950铂金项链 O字间镭射珠,女,PT,项链,已审核,是,0,PT950,白
KLSW024208,流星闪耀,女,PT,手链,已审核,是,0,PT950,白
KLSW024207,爱意,女,PT,手链,已审核,是,0,PT950,白
KLSW024206,三生恋,女,PT,手链,已审核,是,0,PT950,白
KLDW024205,心心相印,女,PT,耳饰,已审核,是,0,PT950,白
KLDW024204,浪花朵朵,女,PT,耳饰,已审核,是,0,PT950,白
KLPW024203,樱花恋,女,PT,吊坠,已审核,是,0,PT950,白
KLNW024194,PT950铂金项链 小竹节,女,PT,项链,已审核,是,0,PT950,白
KLSW024193,春韵,女,PT,手链,已审核,是,0,PT950,白
KLPW024189,匙爱,女,PT,吊坠,已审核,是,0,PT950,白
KLDW024187,心窗耳钉,女,PT,耳饰,已审核,是,0,PT950,白
KLNW024171,PT950铂金项链 蛇骨链,女,PT,项链,已审核,是,0,PT950,白
KLPW024170,淘宝 铂金协会吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLSW024169,淘宝 铂金手链 元宝,女,PT,手链,已审核,是,0,PT950,白
KLSW024168,淘宝 铂金手链 郁金香,女,PT,手链,已审核,是,0,PT950,白
KLDW024167,淘宝 铂金耳钉 蝴蝶,女,PT,耳饰,已审核,是,0,PT950,白
KLDW024166,淘宝 铂金耳钉 心,女,PT,耳饰,已审核,是,0,PT950,白
KLDW024165,PT950铂金耳钉 心弦,女,PT,耳饰,已审核,是,0,PT950,白
KLPW024071,经典简约系列,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLRX023793,雕刻时光,中性,PT,情侣戒,已审核,是,0,18K|PT950,白
KLRX023792,情韵绵长,中性,PT,情侣戒,已审核,是,0,18K|PT950,白
KLRX023791,并行,中性,PT,情侣戒,已审核,是,0,18K|PT950,白
KLRX023790,爱之韵,中性,PT,情侣戒,已审核,是,0,18K|PT950,白
KLRX023789,一生爱,中性,PT,情侣戒,已审核,是,0,18K|PT950,白
KLRX023788,倾恋,中性,PT,情侣戒,已审核,是,0,18K|PT950,白
KLPW023787,钻石吊坠,女,钻石,吊坠,已审核,是,0,18K|PT950,白|玫瑰金|黄|玫瑰白|玫瑰黄|黄白|分色
KLPW023263,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW023262,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW023261,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLRM023258,情侣戒,男,PT,情侣戒,已审核,是,0,18K|PT950,白
KLPW023253,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW023252,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLSW023251,手链,女,PT,手链,已审核,是,0,PT950,白
KLSW023250,手链,女,PT,手链,已审核,是,0,PT950,白
KLSW023249,PT950铂金手链 纽片,女,PT,手链,已审核,是,0,PT950,白
KLSW023137,PT950铂金手链 梦牵,女,PT,手链,已审核,是,0,PT950,白
KLPW022782,悦然心动,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLPW022766,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW022765,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW022764,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW022763,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW022762,PT950 铂金吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW022761,PT950 铂金吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW022760,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW022759,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW022758,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLPW022757,吊坠,女,PT,吊坠,已审核,是,0,PT950,白
KLRW022756,情侣戒,女,PT,情侣戒,已审核,是,0,PT950,白
KLRM022755,情侣戒,男,PT,情侣戒,已审核,是,0,18K|PT950,白
KLRW022754,情侣戒,女,PT,情侣戒,已审核,是,0,PT950,白
KLRM022753,情侣戒,男,PT,情侣戒,已审核,是,0,18K|PT950,白
KLRX022752,情侣戒,中性,PT,情侣戒,已审核,是,0,18K|PT950,白
KLRX022751,情侣戒,中性,PT,情侣戒,已审核,是,0,18K|PT950,白
KLRX022747,PT950铂金 戒指 轮回,中性,PT,情侣戒,已审核,是,0,18K|PT950,白
KLSX022745,PT950铂金手链 诗篇 ,中性,PT,手链,已审核,是,0,18K|PT950,白
KLSW022744,柳絮飞花 手链,女,PT,手链,已审核,是,0,PT950,白
KLSW022743,时光隧道 手链,女,PT,手链,已审核,是,0,PT950,白
KLSW022741,花海 手链,女,PT,手链,已审核,是,0,PT950,白
KLDW022739,PT950 铂金耳钉 相伴,女,PT,耳饰,已审核,是,0,PT950,白
KLDW022736,耳钉,女,PT,耳饰,已审核,是,0,PT950,白
KLPW022396,玉蝴蝶,女,宝石,吊坠,已审核,是,0,18K|PT950,玫瑰黄|玫瑰白|黄白|分色
KLSW022206,相依,女,PT,手链,已审核,是,0,PT950,白
KLSW022205,PT950铂金手链 完美爱,女,PT,手链,已审核,是,0,PT950,白
KLPW022204,PT950铂金 吊坠 萌爱,女,PT,吊坠,已审核,是,0,PT950,白
KLPW022203,蝶韵,女,PT,吊坠,已审核,是,0,PT950,白
KLSW021971,芷水,女,PT,手链,已审核,是,0,PT950,白
KLSW021969,邂逅,女,PT,手链,已审核,是,0,PT950,白
KLSW021968,初见,女,PT,手链,已审核,是,0,PT950,白
KLPW021967,PT950铂金 吊坠 迷蝶,女,PT,吊坠,已审核,是,0,PT950,白
KLPW021966,舞心系列,女,PT,吊坠,已审核,是,0,PT950,白
